scenario,episode,p_correct,lo95,hi95
traditional,0,0.5415913402240613,0.5138314228558009,0.5676689084400888
traditional,1,0.5580757401384578,0.5327419227107753,0.5811928288538317
traditional,2,0.5736424795229489,0.5515286046725829,0.5937892593214766
traditional,3,0.5883029190654145,0.5679988569572887,0.6067247429414802
traditional,4,0.6020755763338145,0.5840043005057325,0.6199320518461146
traditional,5,0.6149846203374414,0.5982242490436769,0.6321839345280031
traditional,6,0.6270585338169452,0.611161017041441,0.642357184583895
traditional,7,0.6383289495765708,0.6235392508417712,0.6526998577009526
traditional,8,0.6488296580747445,0.6345814162095692,0.6626392998761437
traditional,9,0.6585957771780255,0.6450138010479628,0.6727973159078455
traditional,10,0.6676630709723632,0.6550512773785877,0.6813414868792342
traditional,11,0.6760674023255687,0.663565032473619,0.6893784535674911
traditional,12,0.6838443030563535,0.6713672999087107,0.6971558954621914
traditional,13,0.6910286457001071,0.6784124886641139,0.7046810577204559
traditional,14,0.6976544016510238,0.6849031591209056,0.7112176241188042
traditional,15,0.703754471653424,0.6910918817979388,0.7175720412419253
traditional,16,0.709360576022683,0.69679339640017,0.7229398182023269
traditional,17,0.7145031934607692,0.7018533701307392,0.7278260089808065
traditional,18,0.7192115387982518,0.7065608596602242,0.7324761405015291
traditional,19,0.7235135713821844,0.7109690278545355,0.7366492278456138
traditional,20,0.7274360271010892,0.715013332145792,0.740317858962987
traditional,21,0.7310044681761987,0.7181557042374481,0.7437498887270801
traditional,22,0.7342433458468263,0.7215373700080085,0.746866722808764
traditional,23,0.7371760719404425,0.7241674791363556,0.7499256385145524
traditional,24,0.7398250960532938,0.7261921890976922,0.7524789408480503
traditional,25,0.7422119856867977,0.7282021761174824,0.7547619904503446
traditional,26,0.7443575072014057,0.7301458332119406,0.7567834509039206
traditional,27,0.7462817058763349,0.7318829949699492,0.7585327852957269
traditional,28,0.748003983713202,0.7335448701259033,0.7601145664546137
traditional,29,0.7495431739059353,0.7349972097725398,0.7616677788698988
traditional,30,0.7509176111289769,0.7362521830590733,0.7629140670930604
traditional,31,0.752145196980075,0.7373561653921932,0.7642499543209232
traditional,32,0.753243460060995,0.7383282325333922,0.7655844379672577
traditional,33,0.7542296102961223,0.7391871727784909,0.7667111896520286
