section,condition,outcome,centaur,logistic,difference,ci_low,ci_high,n_learners
paired difference,ai_scaffolding,first_try,0.7216666666666668,0.7224999999999999,-0.0008333333333333332,-0.004999999999999999,0.0033333333333333327,40
paired difference,ai_scaffolding,transfer,0.6066666666666667,0.605,0.0016666666666666692,-0.01833333333333333,0.02,40
paired difference,ai_scaffolding,reveal,0.005833333333333334,0.0075000000000000015,-0.001666666666666667,-0.006666666666666668,0.0025,40
paired difference,ai_scaffolding,help_per_episode,0.2991666666666667,0.205,0.09416666666666666,0.04,0.15166666666666667,40
paired difference,ai_scaffolding,effort,0.6990206093045053,0.7058917748373131,-0.0068711655328079265,-0.011914607321373331,-0.0017833674958605153,40
paired difference,ai_scaffolding,K,0.5781054992391439,0.5819664314395829,-0.0038609322004390144,-0.00603496019195021,-0.0018412037795764184,40
paired difference,ai_scaffolding,M,0.5212514271011888,0.5209827566780689,0.0002686704231198461,-0.0008412605477983387,0.0014794775094678797,40
paired difference,ai_scaffolding,R,0.3615979106904085,0.36629232685171004,-0.0046944161613016126,-0.008936863281084935,-0.0007164876858747031,40
paired difference,ai_scaffolding,C,0.6175465581575408,0.7067262456575408,-0.08917968750000001,-0.1068447265625,-0.07075732421875001,40
paired difference,ai_scaffolding,D,0.41965391823743464,0.4107372515707679,0.008916666666666694,0.003833333333333363,0.014333333333333365,40
paired difference,ai_scaffolding,unaided_ep9,0.8166666666666667,0.8166666666666667,0.0,0.0,0.0,40
paired difference,ai_scaffolding,far_ep9,0.5,0.4875,0.0125,0.0,0.05,40
paired difference,ai_scaffolding,unaided_ep19,0.6916666666666667,0.7083333333333333,-0.016666666666666666,-0.05,0.0,40
paired difference,ai_scaffolding,far_ep19,0.45,0.4625,-0.0125,-0.0375,0.0,40
paired difference,ai_scaffolding,unaided_ep29,0.6,0.6166666666666666,-0.016666666666666666,-0.05,0.0,40
paired difference,ai_scaffolding,far_ep29,0.4375,0.4375,0.0,-0.05,0.05,40
paired difference,ai_substitution,first_try,0.6566666666666667,0.6566666666666667,0.0,0.0,0.0,40
paired difference,ai_substitution,transfer,0.5275,0.5275,0.0,-0.0033333333333333327,0.0033333333333333327,40
paired difference,ai_substitution,reveal,0.3433333333333333,0.3433333333333333,0.0,0.0,0.0,40
paired difference,ai_substitution,help_per_episode,0.0,0.0,0.0,0.0,0.0,40
paired difference,ai_substitution,effort,0.5239563526225612,0.5239563526225612,0.0,0.0,0.0,40
paired difference,ai_substitution,K,0.47330665772801195,0.47330665772801195,0.0,0.0,0.0,40
paired difference,ai_substitution,M,0.4232486700680894,0.4232486700680894,0.0,0.0,0.0,40
paired difference,ai_substitution,R,0.32103769451777503,0.32112008666084757,-8.239214307253218e-05,-0.00029302266897819574,3.4171110380570856e-05,40
paired difference,ai_substitution,C,0.6213746831575409,0.7106129644075408,-0.08923828125000002,-0.10583984375000002,-0.07163720703125004,40
paired difference,ai_substitution,D,0.4619039182374346,0.4619039182374346,0.0,0.0,0.0,40
paired difference,ai_substitution,unaided_ep9,0.775,0.775,0.0,0.0,0.0,40
paired difference,ai_substitution,far_ep9,0.4,0.4,0.0,0.0,0.0,40
paired difference,ai_substitution,unaided_ep19,0.6583333333333333,0.6583333333333333,0.0,0.0,0.0,40
paired difference,ai_substitution,far_ep19,0.375,0.375,0.0,0.0,0.0,40
paired difference,ai_substitution,unaided_ep29,0.5083333333333333,0.5083333333333333,0.0,0.0,0.0,40
paired difference,ai_substitution,far_ep29,0.3,0.3,0.0,0.0,0.0,40
paired difference,free_choice,first_try,0.6741666666666667,0.6791666666666666,-0.004999999999999999,-0.009999999999999998,-0.0016666666666666663,40
paired difference,free_choice,transfer,0.5716666666666667,0.5775,-0.005833333333333333,-0.02,0.008333333333333335,40
paired difference,free_choice,reveal,0.14833333333333334,0.10833333333333332,0.04,0.021666666666666667,0.059166666666666666,40
paired difference,free_choice,help_per_episode,0.16333333333333333,0.16749999999999998,-0.004166666666666674,-0.04583333333333334,0.03583333333333333,40
paired difference,free_choice,effort,0.6237683045737378,0.6465734294276543,-0.022805124853916465,-0.03429613534893646,-0.011522927239631657,40
paired difference,free_choice,K,0.537259840126313,0.5478901207370674,-0.010630280610754475,-0.017664479629968456,-0.0036429216055977693,40
paired difference,free_choice,M,0.4839132579417321,0.49440630990667894,-0.0104930519649468,-0.015947091799670972,-0.004909496745849587,40
paired difference,free_choice,R,0.3414654842444718,0.34802856292393025,-0.0065630786794584756,-0.009943192694685845,-0.0031324146272552864,40
paired difference,free_choice,C,0.6251637456575408,0.7058668706575408,-0.08070312500000001,-0.09744189453125002,-0.06495703125,40
paired difference,free_choice,D,0.44015391823743455,0.43198725157076795,0.008166666666666673,0.0030000000000000157,0.013252083333333341,40
paired difference,free_choice,unaided_ep9,0.7999999999999999,0.7999999999999999,0.0,0.0,0.0,40
paired difference,free_choice,far_ep9,0.4125,0.425,-0.0125,-0.0375,0.0,40
paired difference,free_choice,unaided_ep19,0.675,0.7,-0.025,-0.06666666666666667,0.0,40
paired difference,free_choice,far_ep19,0.4,0.425,-0.025,-0.075,0.025,40
paired difference,free_choice,unaided_ep29,0.5833333333333333,0.575,0.008333333333333335,-0.025,0.05,40
paired difference,free_choice,far_ep29,0.3625,0.3875,-0.025,-0.0875,0.025,40
paired difference,traditional,first_try,0.7116666666666667,0.7141666666666667,-0.0025000000000000035,-0.009166666666666675,0.005000000000000003,40
paired difference,traditional,transfer,0.5983333333333334,0.5991666666666666,-0.000833333333333322,-0.02499999999999998,0.02166666666666667,40
paired difference,traditional,reveal,0.005,0.0075000000000000015,-0.002500000000000001,-0.008333333333333335,0.0025,40
paired difference,traditional,help_per_episode,0.28833333333333333,0.21749999999999997,0.07083333333333333,0.005812499999999993,0.135,40
paired difference,traditional,effort,0.6992538625114788,0.7041393563738831,-0.004885493862404336,-0.011320400801397013,0.00190539108573153,40
paired difference,traditional,K,0.5639585369331837,0.5662287679060529,-0.0022702309728693027,-0.00506552615086735,0.0006159293202014657,40
paired difference,traditional,M,0.5232930683843674,0.5224180287401119,0.0008750396442555083,-0.0008235235712224646,0.0027612403539996715,40
paired difference,traditional,R,0.3605216272827555,0.3645334231910507,-0.004011795908295252,-0.009165930694492482,0.0010940634129985951,40
paired difference,traditional,C,0.6367848394075408,0.7060817144075408,-0.06929687500000001,-0.08601708984375,-0.052029296875000006,40
paired difference,traditional,D,0.41990391823743456,0.41282058490410123,0.0070833333333333625,0.0004979166666666834,0.013500000000000031,40
paired difference,traditional,unaided_ep9,0.8083333333333332,0.8083333333333332,0.0,0.0,0.0,40
paired difference,traditional,far_ep9,0.475,0.4625,0.0125,0.0,0.05,40
paired difference,traditional,unaided_ep19,0.6833333333333333,0.7,-0.016666666666666666,-0.058333333333333334,0.016666666666666666,40
